arm_length_m,test_mass_kg,snr_year
1240.0,99.0,2.6751528715318004e-10
1240.0,100.0,2.6751529866673113e-10
1250.0,10.0,2.67576969636529e-10
1250.0,11.0,2.675865133657317e-10
1250.0,12.0,2.6759377283824057e-10
1250.0,13.0,2.675994228237079e-10
1250.0,14.0,2.6760390616887074e-10
1250.0,15.0,2.676075232672007e-10
1250.0,16.0,2.676104837062831e-10
1250.0,17.0,2.6761293732021935e-10
1250.0,18.0,2.676149935245403e-10
1250.0,19.0,2.676167337272053e-10
1250.0,20.0,2.6761821951088643e-10
1250.0,21.0,2.676194981564479e-10
1250.0,22.0,2.676206064510404e-10
1250.0,23.0,2.676215733636888e-10
1250.0,24.0,2.6762242195754477e-10
1250.0,25.0,2.676231707779119e-10
1250.0,26.0,2.6762383487407496e-10
1250.0,27.0,2.6762442656132415e-10
1250.0,28.0,2.676249559960123e-10
1250.0,29.0,2.676254316142919e-10
1250.0,30.0,2.6762586047025047e-10
1250.0,31.0,2.67626248498968e-10
1250.0,32.0,2.6762660072296215e-10
1250.0,33.0,2.6762692141552675e-10
1250.0,34.0,2.676272142309529e-10
1250.0,35.0,2.6762748230909006e-10
1250.0,36.0,2.676277283598661e-10
1250.0,37.0,2.676279547320396e-10
1250.0,38.0,2.676281634694598e-10
1250.0,39.0,2.676283563573599e-10
1250.0,40.0,2.6762853496065456e-10
1250.0,41.0,2.6762870065578014e-10
1250.0,42.0,2.6762885465729246e-10
1250.0,43.0,2.676289980401876e-10
1250.0,44.0,2.676291317587117e-10
1250.0,45.0,2.676292566622789e-10
1250.0,46.0,2.676293735089934e-10
1250.0,47.0,2.6762948297718013e-10
1250.0,48.0,2.6762958567525105e-10
1250.0,49.0,2.676296821501774e-10
1250.0,50.0,2.6762977289478715e-10
1250.0,51.0,2.676298583540719e-10
1250.0,52.0,2.6762993893065195e-10
1250.0,53.0,2.676300149895271e-10
1250.0,54.0,2.676300868622181e-10
1250.0,55.0,2.6763015485038407e-10
1250.0,56.0,2.67630219228994e-10
1250.0,57.0,2.6763028024911045e-10
1250.0,58.0,2.6763033814034144e-10
1250.0,59.0,2.676303931130038e-10
1250.0,60.0,2.676304453600348e-10
1250.0,61.0,2.6763049505868884e-10
1250.0,62.0,2.676305423720418e-10
1250.0,63.0,2.6763058745033077e-10
1250.0,64.0,2.676306304321484e-10
1250.0,65.0,2.67630671445509e-10
1250.0,66.0,2.67630710608803e-10
1250.0,67.0,2.676307480316525e-10
1250.0,68.0,2.676307838156789e-10
1250.0,69.0,2.6763081805519335e-10
1250.0,70.0,2.676308508378194e-10
1250.0,71.0,2.676308822450535e-10
1250.0,72.0,2.676309123527725e-10
1250.0,73.0,2.67630941231692e-10
1250.0,74.0,2.676309689477819e-10
1250.0,75.0,2.676309955626442e-10
1250.0,76.0,2.676310211338545e-10
1250.0,77.0,2.676310457152743e-10
1250.0,78.0,2.6763106935733515e-10
1250.0,79.0,2.676310921072965e-10
1250.0,80.0,2.676311140094831e-10
1250.0,81.0,2.6763113510550066e-10
1250.0,82.0,2.6763115543443325e-10
1250.0,83.0,2.67631175033025e-10
1250.0,84.0,2.676311939358458e-10
1250.0,85.0,2.676312121754443e-10
1250.0,86.0,2.67631229782488e-10
1250.0,87.0,2.676312467858916e-10
1250.0,88.0,2.676312632129365e-10
1250.0,89.0,2.6763127908938044e-10
1250.0,90.0,2.6763129443955806e-10
1250.0,91.0,2.676313092864739e-10
1250.0,92.0,2.6763132365188957e-10
1250.0,93.0,2.676313375564029e-10
1250.0,94.0,2.6763135101952187e-10
1250.0,95.0,2.6763136405973337e-10
1250.0,96.0,2.6763137669456614e-10
1250.0,97.0,2.6763138894065044e-10
1250.0,98.0,2.6763140081377224e-10
1250.0,99.0,2.676314123289241e-10
1250.0,100.0,2.6763142350035306e-10
1260.0,10.0,2.6769216449853557e-10
1260.0,11.0,2.6770142674860693e-10
1260.0,12.0,2.6770847209313547e-10
1260.0,13.0,2.677139554127545e-10
1260.0,14.0,2.6771830649876357e-10
1260.0,15.0,2.6772181688754427e-10
1260.0,16.0,2.6772468998629086e-10
1260.0,17.0,2.6772707121033526e-10
1260.0,18.0,2.6772906674817993e-10
1260.0,19.0,2.677307556066409e-10
1260.0,20.0,2.677321975519005e-10
1260.0,21.0,2.6773343847012753e-10
1260.0,22.0,2.6773451406327996e-10
1260.0,23.0,2.677354524457901e-10
1260.0,24.0,2.6773627600042196e-10
1260.0,25.0,2.6773700272535893e-10
1260.0,26.0,2.6773764722589505e-10
1260.0,27.0,2.677382214539814e-10
1260.0,28.0,2.6773873526632253e-10
1260.0,29.0,2.677391968501704e-10
1260.0,30.0,2.677396130514855e-10
1260.0,31.0,2.6773998963023466e-10
1260.0,32.0,2.677403314607454e-10
1260.0,33.0,2.677406426902259e-10
1260.0,34.0,2.6774092686514513e-10
1260.0,35.0,2.67741187032708e-10
1260.0,36.0,2.6774142582288267e-10
1260.0,37.0,2.6774164551512454e-10
1260.0,38.0,2.677418480929756e-10
1260.0,39.0,2.6774203528899257e-10
1260.0,40.0,2.6774220862191443e-10
1260.0,41.0,2.6774236942756264e-10
1260.0,42.0,2.677425188846551e-10
1260.0,43.0,2.677426580364675e-10
1260.0,44.0,2.677427878090885e-10
1260.0,45.0,2.677429090268681e-10
1260.0,46.0,2.6774302242554063e-10
1260.0,47.0,2.6774312866341503e-10
1260.0,48.0,2.6774322833095054e-10
1260.0,49.0,2.677433219589782e-10
1260.0,50.0,2.6774341002578347e-10
1260.0,51.0,2.6774349296322734e-10
1260.0,52.0,2.677435711620493e-10
1260.0,53.0,2.677436449764788e-10
1260.0,54.0,2.677437147282537e-10
1260.0,55.0,2.677437807101319e-10
1260.0,56.0,2.677438431889683e-10
1260.0,57.0,2.677439024084172e-10
1260.0,58.0,2.677439585913111e-10
1260.0,59.0,2.677440119417605e-10
1260.0,60.0,2.677440626470097e-10
1260.0,61.0,2.6774411087908217e-10
1260.0,62.0,2.6774415679624183e-10
1260.0,63.0,2.677442005442926e-10
1260.0,64.0,2.677442422577371e-10
1260.0,65.0,2.677442820608123e-10
1260.0,66.0,2.677443200684151e-10
1260.0,67.0,2.6774435638693255e-10
1260.0,68.0,2.6774439111498736e-10
1260.0,69.0,2.677444243441079e-10
1260.0,70.0,2.677444561593317e-10
1260.0,71.0,2.677444866397506e-10
1260.0,72.0,2.6774451585900225e-10
1260.0,73.0,2.6774454388571547e-10
1260.0,74.0,2.677445707839137e-10
1260.0,75.0,2.677445966133807e-10
1260.0,76.0,2.6774462142999335e-10
1260.0,77.0,2.6774464528602376e-10
1260.0,78.0,2.67744668230415e-10
1260.0,79.0,2.677446903090323e-10
1260.0,80.0,2.677447115648923e-10
1260.0,81.0,2.677447320383728e-10
1260.0,82.0,2.677447517674048e-10
1260.0,83.0,2.677447707876477e-10
1260.0,84.0,2.677447891326517e-10
1260.0,85.0,2.6774480683400485e-10
1260.0,86.0,2.6774482392146943e-10
1260.0,87.0,2.6774484042310707e-10
1260.0,88.0,2.677448563653943e-10
1260.0,89.0,2.6774487177332854e-10
1260.0,90.0,2.6774488667052624e-10
1260.0,91.0,2.677449010793133e-10
1260.0,92.0,2.67744915020809e-10
1260.0,93.0,2.6774492851500353e-10
1260.0,94.0,2.6774494158082904e-10
1260.0,95.0,2.677449542362268e-10
1260.0,96.0,2.677449664982086e-10
1260.0,97.0,2.677449783829137e-10
1260.0,98.0,2.6774498990566217e-10
1260.0,99.0,2.6774500108100433e-10
1260.0,100.0,2.6774501192276674e-10
1270.0,10.0,2.678049480386386e-10
1270.0,11.0,2.678139389840177e-10
1270.0,12.0,2.67820777941661e-10
1270.0,13.0,2.6782610062137915e-10
1270.0,14.0,2.6783032423060787e-10
1270.0,15.0,2.678337317686387e-10
1270.0,16.0,2.6783652068560946e-10
1270.0,17.0,2.6783883213778236e-10
1270.0,18.0,2.6784076920327524e-10
1270.0,19.0,2.6784240857456035e-10
1270.0,20.0,2.6784380826700124e-10
1270.0,21.0,2.6784501282249675e-10
1270.0,22.0,2.678460568970495e-10
1270.0,23.0,2.6784696778140115e-10
1270.0,24.0,2.6784776720253147e-10
1270.0,25.0,2.67848472631289e-10
1270.0,26.0,2.6784909824503276e-10
1270.0,27.0,2.6784965564551575e-10
1270.0,28.0,2.6785015440063064e-10
1270.0,29.0,2.67850602457731e-10
1270.0,30.0,2.67851006462178e-10
1270.0,31.0,2.678513720051586e-10
1270.0,32.0,2.6785170381816995e-10
1270.0,33.0,2.678520059268955e-10
1270.0,34.0,2.678522817738814e-10
1270.0,35.0,2.6785253431703955e-10
1270.0,36.0,2.6785276610927073e-10
1270.0,37.0,2.6785297936323337e-10
1270.0,38.0,2.6785317600434413e-10
1270.0,39.0,2.678533577143885e-10
1270.0,40.0,2.6785352596759995e-10
1270.0,41.0,2.678536820606546e-10
1270.0,42.0,2.678538271377284e-10
1270.0,43.0,2.6785396221152415e-10
1270.0,44.0,2.678540881809917e-10
1270.0,45.0,2.678542058463236e-10
1270.0,46.0,2.6785431592169344e-10
1270.0,47.0,2.678544190461183e-10
1270.0,48.0,2.678545157927539e-10
1270.0,49.0,2.678546066768751e-10
1270.0,50.0,2.6785469216275136e-10
1270.0,51.0,2.6785477266958735e-10
1270.0,52.0,2.6785484857667177e-10
1270.0,53.0,2.6785492022785347e-10
1270.0,54.0,2.678549879354414e-10
1270.0,55.0,2.67855051983614e-10
1270.0,56.0,2.6785511263140585e-10
1270.0,57.0,2.678551701153308e-10
1270.0,58.0,2.678552246516908e-10
1270.0,59.0,2.6785527643861493e-10
1270.0,60.0,2.6785532565786005e-10
1270.0,61.0,2.6785537247640845e-10
1270.0,62.0,2.678554170478859e-10
1270.0,63.0,2.678554595138232e-10
1270.0,64.0,2.678555000047814e-10
1270.0,65.0,2.678555386413565e-10
1270.0,66.0,2.678555755350783e-10
1270.0,67.0,2.67855610789216e-10
1270.0,68.0,2.67855644499502e-10
1270.0,69.0,2.6785567675478236e-10
1270.0,70.0,2.678557076376024e-10
1270.0,71.0,2.678557372247363e-10
