arm_length_m,test_mass_kg,snr_year
2590.0,40.0,6.30173279633709e-10
2600.0,40.0,6.296842507131355e-10
2610.0,40.0,6.291931769212667e-10
2620.0,40.0,6.286980371128041e-10
2630.0,40.0,6.281932893419441e-10
2640.0,40.0,6.276871569672441e-10
2650.0,40.0,6.271719014683667e-10
2660.0,40.0,6.266658405057796e-10
2670.0,40.0,6.261463542147567e-10
2680.0,40.0,6.256223671461171e-10
2690.0,40.0,6.250938312605325e-10
2700.0,40.0,6.245609207661128e-10
2710.0,40.0,6.240241572445583e-10
2720.0,40.0,6.23484136595937e-10
2730.0,40.0,6.229410886957613e-10
2740.0,40.0,6.223936009025559e-10
2750.0,40.0,6.21836401734186e-10
2760.0,40.0,6.212816624436653e-10
2770.0,40.0,6.207149629491372e-10
2780.0,40.0,6.201707626475378e-10
2790.0,40.0,6.195835643390681e-10
2800.0,40.0,6.190096050880686e-10
2810.0,40.0,6.184313272704427e-10
2820.0,40.0,6.178486788526665e-10
2830.0,40.0,6.172616869832917e-10
2840.0,40.0,6.166704184894405e-10
2850.0,40.0,6.160749258598804e-10
2860.0,40.0,6.15475253361007e-10
2870.0,40.0,6.148714184168262e-10
2880.0,40.0,6.142634417365115e-10
2890.0,40.0,6.13651322469249e-10
2900.0,40.0,6.130348911910934e-10
2910.0,40.0,6.124138537712216e-10
2920.0,40.0,6.11779869331631e-10
2930.0,40.0,6.111440603551456e-10
2940.0,40.0,6.105112434643109e-10
2950.0,40.0,6.098747501198224e-10
2960.0,40.0,6.092372858416846e-10
2970.0,40.0,6.08586482252235e-10
2980.0,40.0,6.07944987398171e-10
2990.0,40.0,6.073031656413907e-10
3000.0,40.0,6.066492836671351e-10
